planet_mass,planet_radius,orbital_period,orbital_radius,star_mass,star_radius,star_luminosity
5.599636,1.6127999999999998,0.719573,0.0166,1.18,1.22,4.168673145223324
127.75560000000002,11.648,2.985628,0.0406,0.9,1.04,2.990289779342265
476.70000000000005,12.096,1.99809,0.039,1.21,1.22,4.251700580312454
95.34,11.2,3.41566,0.047,1.2,1.93,4.0149908805903936
17.192980000000002,2.48752,146.05,0.58,1.25,1.54,3.8776349454687007
35.68894,6.854399999999999,11.81399,0.105,1.12,1.657,3.821761874637006
39.426268,3.97712,55.086,0.231,0.76,0.86,2.3053166215752054
7.808346000000001,2.245264,9.489295,0.08,0.85,0.73,2.6680202052857793
5.91108,1.827504,7.610303,0.06899,0.761,0.742,2.341983575969907
8.38992,2.39792,14.245648,0.10479,0.761,0.742,2.076213337282203
11.82216,2.5312,9.1265,0.098,0.775,0.716,2.350700897066189
12.0764,9.195199999999998,542.07975,1.37,1.15,1.4,3.7048951678793403
378.81759999999997,3.20544,7.712121,0.0787,1.094,1.08,3.6600752114955752
20.0214,2.7372799999999997,10.28891,0.089,0.898,0.836,2.6863802152156873
29.8732,3.3711999999999995,8.267704,0.0796,0.99,0.91,3.4993516166014595
5.7204,2.7327999999999997,13.339079,0.1091,0.97,0.98,3.018568979327125
266.952,15.971199999999998,3.313959,0.0475,1.3,1.81,4.159495715864347
59.4286,5.331199999999999,4.733999,0.0581,1.17,1.76,3.8428722847408254
16.6845,2.5536,13.86387,0.1027,0.75,0.71,2.1924568928979693
5.288192,1.8144,5.3518,0.057,0.84,1.25,2.169213535330034
406.78400000000005,12.129599999999998,5.817685,0.0642,1.04,1.24,3.189616994284088
587.9300000000001,10.662399999999998,11.391013,0.0954,0.89,0.84,2.5135294931449317
10.487400000000001,2.9008,6.413651,0.049,0.39,0.39,1.2351455208307887
155.722,14.559999999999999,9.1751,0.0916,1.08,3.85,3.5823874039098738
2.19282,1.3439999999999999,3.07133,0.03194,0.46,0.46,1.2088650764143656
3.1780000000000004,1.6015999999999997,4.86784,0.04341,0.46,0.46,1.2584515237658085
8.2628,2.0048,11.02454,0.07487,0.46,0.46,1.2896804480207507
